rank,title
795,Baldur's Gate: Siege of Dragonspear
796,Disc Jam
797,NARUTO STORM 4 : Road to Boruto Expansion
798,Company of Heroes
799,Unexplored
800,Dead Realm
801,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
802,Crossout
803,Total War: ATTILA - Age of Charlemagne Campaign Pack
804,Arma 3 Helicopters
805,Imagine Earth
806,RTK13 Fame and Strategy Expansion Pack Bundle / 13 with 
807,(Tale of Wuxia)
808,The Sims 3: University Life
809,Expansion - Europa Universalis IV: Mare Nostrum
810,DCS: Black Shark 2
811,Day of Infamy
812,Call of Duty: Infinite Warfare
813,Mount & Blade: Warband - Viking Conquest Reforged Edition
814,"Warhammer 40,000: Eternal Crusade - Imperium Edition (Premium Upgrade)"
815,RWBY: Grimm Eclipse
816,EDEN STAR
817,Hollow Knight & Soundtrack
818,Age of Mythology EX: Tale of the Dragon
819,Fernbus Simulator
820,Scribblenauts Unlimited
821,Marmoset Hexels 2
822,Turbo Dismount
823,Borderlands 2: Mechromancer Pack
824,Hatred
825,Pharaoh + Cleopatra
826,Far Cry 2: Fortune's Edition
827,"Warhammer 40,000: Eternal Crusade - Squadron Edition (Premium Upgrade)"
828,Civilization VI - Poland Civilization & Scenario Pack
829,Rampage Knights
830,theBlu
831,Don't Starve: Reign of Giants
832,How to Survive 2 -  Kovac's Ultimate Edition
833,Shiness: The Lightning Kingdom
834,Train Simulator: Clear Creek Old Timer Rolling Stock Pack Add-On
835,The Sims 3 Generations
836,Spelunky
837,Cosmic Star Heroine
838,Geneforge Saga
839,Feel The Snow
840,Just Cause 3
841,Five Nights at Freddy's 4
842,Judgment: Apocalypse Survival Simulation
843,L.A. Noire Complete Edition
844,BlazBlue: Chronophantasma Extend
845,"Warhammer 40,000: Dawn of War II - Master Collection"
846,Fallout 4 Vault-Tec Workshop
847,GameMaker Studio 2 Mobile
848,Call of Duty: MWR Variety Map Pack
849,NASCAR Heat Evolution
850,Dungeon Defenders
851,Tomb Raider GOTY Edition
852,Trove Steam Starter Bundle
853,ABZU
854,STAR WARS Galactic Battlegrounds Saga
855,Rain World
856,Far Cry 3
857,Cities: Skylines - Stadiums: European Club Pack
858,Afghanistan '11
859,Rebel Galaxy
860,Call of Duty: Black Ops III - The Giant Zombies Map
861,Out of the Park Baseball 18 + Franchise Hockey Manager 3
862,Rise of Flight: ILYA Muromets
863,Fran Bow
864,FIVE: Guardians of David
865,Unbox
866,Endless Legend Expansion Set
867,Expansion - Crusader Kings II: The Reaper's Due
868,Assassins Creed III
869,This Is the Police
870,Among the Sleep
871,Jazzpunk
872,Assassins Creed IV Black Flag
873,Armor Clash II [RTS]
874,CastleMiner Z
875,CastleMiner Z
876,First Assault - First Connection Crate
877,Victoria II: Heart of Darkness
878,The Codemasters DiRT Collection
879,Bullet Sorrow VR
880,Fallout 4 - Automatron
881,Worms W.M.D
882,Age of Wonders III
883,ROMANCE OF THE THREE KINGDOMS XIII / 13
884,Mirage: Arcane Warfare
885,DC Universe Online - Power Bundle (2016)
886,Spark the Electric Jester
887,ABZU Deluxe Edition
888,Doom 3: BFG Edition
889,Dragon Age: Origins
890,The Solus Project
891,Double Civilization and Scenario Pack: Spain and Inca
892,Crashlands
893,King's Quest: Season Pass
894,Wild Terra Online
